data,predict,target
07,CARDINAL,DIGIT
SPEAK,LETTERS,PLAIN
OAM,PLAIN,LETTERS
RIFTHP,PLAIN,LETTERS
ptx,LETTERS,VERBATIM
RISC,LETTERS,PLAIN
ORAC,LETTERS,PLAIN
SES,PLAIN,LETTERS
I,PLAIN,CARDINAL
r,PLAIN,LETTERS
1904,DATE,CARDINAL
zkp,PLAIN,LETTERS
Dy,PLAIN,LETTERS
Cik,PLAIN,LETTERS
1978,DATE,CARDINAL
283,CARDINAL,DECIMAL
2,CARDINAL,DIGIT
NOW's,LETTERS,PLAIN
A,LETTERS,PLAIN
1029's,DIGIT,DATE
USTED,LETTERS,PLAIN
3300,CARDINAL,DIGIT
PISSLRE,PLAIN,LETTERS
2012,DATE,CARDINAL
2011,DATE,CARDINAL
Cen,PLAIN,LETTERS
Ke,PLAIN,LETTERS
Ymer,PLAIN,LETTERS
HEAO,PLAIN,LETTERS
uncu,PLAIN,LETTERS
WO,LETTERS,PLAIN
dir,PLAIN,LETTERS
jkde,PLAIN,LETTERS
OIS,PLAIN,LETTERS
1942,DATE,CARDINAL
PRIMJENI,PLAIN,LETTERS
kr,PLAIN,LETTERS
IRMA,LETTERS,PLAIN
Wim,PLAIN,LETTERS
8123,CARDINAL,DIGIT
911,CARDINAL,TELEPHONE
Zhe,PLAIN,LETTERS
SEL,PLAIN,LETTERS
MT,LETTERS,PLAIN
Bibl,PLAIN,LETTERS
2008,DATE,CARDINAL
Imp,LETTERS,PLAIN
FAUD,LETTERS,PLAIN
41,CARDINAL,DIGIT
SIFO,PLAIN,LETTERS
1000,DIGIT,CARDINAL
F,LETTERS,PLAIN
ETSU,LETTERS,PLAIN
Wau,PLAIN,LETTERS
5,CARDINAL,DIGIT
LOM,PLAIN,LETTERS
Ves,PLAIN,LETTERS
IUA,PLAIN,LETTERS
SUGARLAND,LETTERS,PLAIN
0907318037,TELEPHONE,DIGIT
MR,LETTERS,PLAIN
UT,LETTERS,PLAIN
Vrsac,PLAIN,LETTERS
V.,LETTERS,ORDINAL
Asar,PLAIN,LETTERS
srpskih,PLAIN,LETTERS
MANIKESVARA,PLAIN,LETTERS
2,DIGIT,CARDINAL
80,CARDINAL,DECIMAL
1995,DATE,CARDINAL
106,CARDINAL,DECIMAL
22624 / 23,TELEPHONE,FRACTION
IoT,PLAIN,LETTERS
AKI,LETTERS,PLAIN
Rara,PLAIN,LETTERS
nayyir,PLAIN,LETTERS
1926,DATE,CARDINAL
TACP,PLAIN,LETTERS
SUBORD,PLAIN,LETTERS
PREMIS,PLAIN,LETTERS
Seok,PLAIN,LETTERS
WOU,PLAIN,LETTERS
I 001,MONEY,ADDRESS
WIKINOTICIAS,PLAIN,LETTERS
eTOM,LETTERS,PLAIN
STANAVFORLANT,PLAIN,LETTERS
AGIn,LETTERS,PLAIN
Ecma,PLAIN,LETTERS
Viimsi,PLAIN,LETTERS
Idzi,LETTERS,PLAIN
Eum,PLAIN,LETTERS
2002,DATE,CARDINAL
KUZHE,PLAIN,LETTERS
J,LETTERS,PLAIN
Bn,PLAIN,VERBATIM
Es,LETTERS,PLAIN
Kléber,PLAIN,LETTERS
A,LETTERS,PLAIN
UIL,PLAIN,LETTERS
FRA,LETTERS,PLAIN
1,DIGIT,CARDINAL
1925,CARDINAL,DATE
ADusa,LETTERS,PLAIN
NOUL,PLAIN,LETTERS
f,LETTERS,PLAIN
AOA,PLAIN,LETTERS
402,CARDINAL,DIGIT
AISI,LETTERS,PLAIN
LiAZ-,PLAIN,LETTERS
1963,CARDINAL,DATE
Cia,PLAIN,LETTERS
Suat,PLAIN,LETTERS
CORBA,LETTERS,PLAIN
1009,DATE,DIGIT
Barh,PLAIN,LETTERS
ERCIM,PLAIN,LETTERS
Soe,PLAIN,LETTERS
"100,000 dollar",MEASURE,MONEY
Oiso,PLAIN,LETTERS
1939,CARDINAL,DATE
Llerg,PLAIN,LETTERS
2011,DATE,DIGIT
niqw,PLAIN,LETTERS
17441692.2013,CARDINAL,DECIMAL
Atos,PLAIN,LETTERS
LOWSS,PLAIN,LETTERS
P,LETTERS,PLAIN
V,PLAIN,CARDINAL
925,CARDINAL,DECIMAL
GaGa,LETTERS,PLAIN
PALASKHEDE,PLAIN,LETTERS
Jio's,PLAIN,LETTERS
IM,PLAIN,LETTERS
2005,DATE,CARDINAL
HOCLNL,PLAIN,LETTERS
VEN,LETTERS,PLAIN
JOOTS,PLAIN,LETTERS
xmp,PLAIN,LETTERS
SY,LETTERS,PLAIN
WHA,LETTERS,PLAIN
ETC,LETTERS,PLAIN
8218,DIGIT,CARDINAL
ngad,PLAIN,LETTERS
p,LETTERS,PLAIN
1989,DATE,CARDINAL
Nyaya,LETTERS,PLAIN
a'r,PLAIN,LETTERS
Paarl,PLAIN,LETTERS
14,CARDINAL,DIGIT
Myo,PLAIN,LETTERS
1907,DATE,CARDINAL
cGMP,LETTERS,VERBATIM
1027,DIGIT,DATE
ius,PLAIN,LETTERS
Makk,PLAIN,LETTERS
Var,PLAIN,LETTERS
v,PLAIN,LETTERS
VOCAL,LETTERS,PLAIN
Msida,PLAIN,LETTERS
2,CARDINAL,DECIMAL
MR,LETTERS,PLAIN
49,CARDINAL,DECIMAL
SMERSH,LETTERS,PLAIN
Eg,PLAIN,LETTERS
Kafr,PLAIN,LETTERS
MT,LETTERS,PLAIN
NAMA,PLAIN,LETTERS
PEA,LETTERS,PLAIN
ICA,LETTERS,PLAIN
Vix,PLAIN,LETTERS
2006,DATE,CARDINAL
TRE,PLAIN,LETTERS
19,CARDINAL,DIGIT
RAA,PLAIN,LETTERS
SESARAM,PLAIN,LETTERS
Revd,PLAIN,LETTERS
GLAD,LETTERS,PLAIN
Srcc,PLAIN,VERBATIM
-,PUNCT,PLAIN
tpg,PLAIN,LETTERS
AH,PLAIN,LETTERS
x,LETTERS,PLAIN
Koks,PLAIN,LETTERS
Phys,PLAIN,LETTERS
1999,DATE,CARDINAL
cv,LETTERS,VERBATIM
Eois,PLAIN,LETTERS
D,PLAIN,LETTERS
D,LETTERS,PLAIN
2008,CARDINAL,DATE
PASADENA,LETTERS,PLAIN
WARM,LETTERS,PLAIN
Susq,PLAIN,LETTERS
WK,LETTERS,PLAIN
NALS,PLAIN,LETTERS
ng,PLAIN,LETTERS
KATU,LETTERS,PLAIN
PAFTAD,PLAIN,LETTERS
Hol,PLAIN,LETTERS
FACCo's,LETTERS,PLAIN
677,CARDINAL,DIGIT
Siv,PLAIN,LETTERS
2013,CARDINAL,DATE
Erk,LETTERS,PLAIN
13458,DIGIT,CARDINAL
II,CARDINAL,ORDINAL
Bia,LETTERS,PLAIN
3,CARDINAL,DIGIT
Whyld,PLAIN,LETTERS
EAC,PLAIN,LETTERS
Var,PLAIN,LETTERS
pt,PLAIN,LETTERS
abc,PLAIN,LETTERS
esp,LETTERS,PLAIN
gli,PLAIN,LETTERS
2,CARDINAL,DIGIT
asum,LETTERS,PLAIN
XU,PLAIN,LETTERS
b,LETTERS,PLAIN
U,LETTERS,PLAIN
Akt,PLAIN,LETTERS
ij,PLAIN,LETTERS
Fadl,PLAIN,LETTERS
ARTROM,PLAIN,LETTERS
2009,DATE,CARDINAL
ZnO,VERBATIM,LETTERS
cdcd,PLAIN,VERBATIM
Magd,PLAIN,LETTERS
EMET,LETTERS,PLAIN
2061,DATE,DIGIT
QEII,PLAIN,LETTERS
ABBA's,LETTERS,PLAIN
p,PLAIN,LETTERS
atyu,PLAIN,LETTERS
sik,PLAIN,LETTERS
2013,DATE,CARDINAL
LL,LETTERS,PLAIN
KOP,PLAIN,LETTERS
OYUN,LETTERS,PLAIN
plx,PLAIN,LETTERS
HO,PLAIN,LETTERS
nt,LETTERS,VERBATIM
Kuwu,LETTERS,PLAIN
ISI,LETTERS,PLAIN
HONORIS,PLAIN,LETTERS
INDEST,PLAIN,LETTERS
1983,DATE,CARDINAL
2,CARDINAL,DIGIT
SAAT,PLAIN,LETTERS
Iti,PLAIN,LETTERS
EDDIE,LETTERS,PLAIN
2007,CARDINAL,DATE
IDA,LETTERS,PLAIN
OA,LETTERS,PLAIN
2013,CARDINAL,DATE
Upo,PLAIN,LETTERS
CMOS,LETTERS,PLAIN
niet,PLAIN,LETTERS
"10, December ",MEASURE,DATE
Oetje,PLAIN,LETTERS
jiaoyu,PLAIN,LETTERS
2001,DATE,CARDINAL
Jil,PLAIN,LETTERS
HeJ,PLAIN,LETTERS
DAVID,LETTERS,PLAIN
Aed,PLAIN,LETTERS
2002,DATE,CARDINAL
I,PLAIN,ORDINAL
Arzt,PLAIN,LETTERS
Macc,PLAIN,LETTERS
85,DIGIT,CARDINAL
JOOI,PLAIN,LETTERS
Mbiti,PLAIN,LETTERS
Paasa,PLAIN,LETTERS
2008,DATE,CARDINAL
vez,PLAIN,LETTERS
Zvi,PLAIN,LETTERS
v,PLAIN,LETTERS
ORGANIC,LETTERS,PLAIN
n,LETTERS,PLAIN
IR,PLAIN,LETTERS
AWA,PLAIN,LETTERS
ERAD,PLAIN,LETTERS
PES,PLAIN,LETTERS
Hek,PLAIN,LETTERS
Fs,PLAIN,LETTERS
236,CARDINAL,DECIMAL
w,PLAIN,LETTERS
SED,PLAIN,LETTERS
Maegd,PLAIN,LETTERS
OLAYI,PLAIN,LETTERS
SYSMODS,PLAIN,LETTERS
SEARC,PLAIN,LETTERS
20141104,DIGIT,CARDINAL
rsssf,PLAIN,VERBATIM
MOTM,PLAIN,LETTERS
IVI,LETTERS,PLAIN
Ife,PLAIN,LETTERS
BATTLE,PLAIN,LETTERS
LACoFD,PLAIN,LETTERS
TVhttp,PLAIN,VERBATIM
SMtv,LETTERS,VERBATIM
Ifa,PLAIN,LETTERS
Kaj,PLAIN,LETTERS
FALRET,PLAIN,LETTERS
Lviv,PLAIN,LETTERS
Bws,PLAIN,VERBATIM
RUMANIAN,PLAIN,LETTERS
Nzz.chGoogle,PLAIN,ELECTRONIC
BAS,PLAIN,LETTERS
Piz,PLAIN,LETTERS
kaj,PLAIN,LETTERS
5-,CARDINAL,DIGIT
Wer,PLAIN,LETTERS
MUC,PLAIN,LETTERS
ulmi,PLAIN,LETTERS
Muic,PLAIN,LETTERS
Ol,PLAIN,LETTERS
Klou,PLAIN,LETTERS
Myx,PLAIN,LETTERS
cx,LETTERS,VERBATIM
ROSSEM,PLAIN,LETTERS
Ith,PLAIN,LETTERS
dm,PLAIN,LETTERS
1981,DATE,CARDINAL
rrl,LETTERS,VERBATIM
j,PLAIN,LETTERS
Nis,PLAIN,LETTERS
NACIONALIDAD,PLAIN,LETTERS
Lemn,PLAIN,LETTERS
GENERALBYE,PLAIN,LETTERS
2012,CARDINAL,DATE
mld,PLAIN,LETTERS
r,PLAIN,LETTERS
1924,DIGIT,DATE
Symp,PLAIN,LETTERS
Lidl,PLAIN,LETTERS
Lun,PLAIN,LETTERS
MASN,PLAIN,LETTERS
10,CARDINAL,DECIMAL
XAT,PLAIN,LETTERS
Wau,PLAIN,LETTERS
Udde,PLAIN,LETTERS
SOE,PLAIN,LETTERS
258,DIGIT,CARDINAL
TSE,LETTERS,PLAIN
1950,DATE,CARDINAL
ASIC,LETTERS,PLAIN
CY,LETTERS,PLAIN
0,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
100,CARDINAL,DIGIT
z,PLAIN,LETTERS
Imru,PLAIN,LETTERS
sir,LETTERS,PLAIN
Rnb,PLAIN,VERBATIM
ThSK,LETTERS,VERBATIM
vroma.orgTaurobolium,PLAIN,ELECTRONIC
PCS,LETTERS,PLAIN
Inf,PLAIN,LETTERS
2000,DATE,CARDINAL
NIS,PLAIN,LETTERS
Sata,PLAIN,LETTERS
ADMIRED,LETTERS,PLAIN
1996,DIGIT,DATE
TWICE,LETTERS,PLAIN
2000,DATE,DIGIT
ACE'd,PLAIN,LETTERS
INFORMATIVO,PLAIN,LETTERS
11.00 AM,DATE,TIME
shp,PLAIN,VERBATIM
a,LETTERS,PLAIN
n,PLAIN,LETTERS
Yaotl,PLAIN,LETTERS
2061,CARDINAL,DATE
n,LETTERS,PLAIN
2000,DATE,CARDINAL
esp,LETTERS,PLAIN
INTERVICT,PLAIN,LETTERS
AB,PLAIN,LETTERS
BEPS,PLAIN,LETTERS
NU,PLAIN,LETTERS
Biao's,PLAIN,LETTERS
ODEBO,PLAIN,LETTERS
6061-,CARDINAL,DIGIT
NoSQL,PLAIN,LETTERS
SATA,PLAIN,LETTERS
