data,predict,target
I 001,MONEY,ADDRESS
US 420,MONEY,ADDRESS
1992,DATE,CARDINAL
1904,DATE,CARDINAL
1978,DATE,CARDINAL
2012,DATE,CARDINAL
2011,DATE,CARDINAL
1977,DATE,CARDINAL
1942,DATE,CARDINAL
2008,DATE,CARDINAL
1995,DATE,CARDINAL
1926,DATE,CARDINAL
2002,DATE,CARDINAL
2005,DATE,CARDINAL
1989,DATE,CARDINAL
2006,DATE,CARDINAL
1999,DATE,CARDINAL
1992,DATE,CARDINAL
2013,DATE,CARDINAL
1983,DATE,CARDINAL
2002,DATE,CARDINAL
2008,DATE,CARDINAL
1981,DATE,CARDINAL
1950,DATE,CARDINAL
2000,DATE,CARDINAL
1964,DATE,CARDINAL
2013,DATE,CARDINAL
2007,DATE,CARDINAL
2006,DATE,CARDINAL
1918,DATE,CARDINAL
1969,DATE,CARDINAL
1996,DATE,CARDINAL
1991,DATE,CARDINAL
1996,DATE,CARDINAL
1990,DATE,CARDINAL
1999,DATE,CARDINAL
1941,DATE,CARDINAL
1947,DATE,CARDINAL
2012,DATE,CARDINAL
2008,DATE,CARDINAL
2003,DATE,CARDINAL
1861,DATE,CARDINAL
2009,DATE,CARDINAL
1975,DATE,CARDINAL
1987,DATE,CARDINAL
2012,DATE,CARDINAL
2000,DATE,CARDINAL
2013,DATE,CARDINAL
2011,DATE,CARDINAL
1055,DATE,CARDINAL
1976,DATE,CARDINAL
1967,DATE,CARDINAL
1936,DATE,CARDINAL
1901,DATE,CARDINAL
1923,DATE,CARDINAL
1994,DATE,CARDINAL
2007,DATE,CARDINAL
2014,DATE,CARDINAL
2016,DATE,CARDINAL
1913,DATE,CARDINAL
1974,DATE,CARDINAL
1983,DATE,CARDINAL
2000,DATE,CARDINAL
2005,DATE,CARDINAL
2006,DATE,CARDINAL
1940,DATE,CARDINAL
1991,DATE,CARDINAL
1942,DATE,CARDINAL
2007,DATE,CARDINAL
1917,DATE,CARDINAL
1922,DATE,CARDINAL
1965,DATE,CARDINAL
2010,DATE,CARDINAL
1998,DATE,CARDINAL
1795,DATE,CARDINAL
2015,DATE,CARDINAL
1979,DATE,CARDINAL
1974,DATE,CARDINAL
2010,DATE,CARDINAL
1912,DATE,CARDINAL
2009,DATE,CARDINAL
1996,DATE,CARDINAL
2007,DATE,CARDINAL
1996,DATE,CARDINAL
1987,DATE,CARDINAL
1991,DATE,CARDINAL
1998,DATE,CARDINAL
1925,DATE,CARDINAL
1992,DATE,CARDINAL
2003,DATE,CARDINAL
1955,DATE,CARDINAL
2000,DATE,CARDINAL
2007,DATE,CARDINAL
1930,DATE,CARDINAL
2000,DATE,CARDINAL
2000,DATE,CARDINAL
1944,DATE,CARDINAL
2010,DATE,CARDINAL
2004,DATE,CARDINAL
2005,DATE,CARDINAL
2009,DATE,CARDINAL
2015,DATE,CARDINAL
1974,DATE,CARDINAL
1917,DATE,CARDINAL
2013,DATE,CARDINAL
2009,DATE,CARDINAL
2004,DATE,CARDINAL
1988,DATE,CARDINAL
1989,DATE,CARDINAL
1990,DATE,CARDINAL
1935,DATE,CARDINAL
2014,DATE,CARDINAL
2002,DATE,CARDINAL
1997,DATE,CARDINAL
1599,DATE,CARDINAL
2012,DATE,CARDINAL
2006,DATE,CARDINAL
2012,DATE,CARDINAL
1977,DATE,CARDINAL
2014,DATE,CARDINAL
2004,DATE,CARDINAL
1959,DATE,CARDINAL
2009,DATE,CARDINAL
2014,DATE,CARDINAL
2000,DATE,CARDINAL
1988,DATE,CARDINAL
2010,DATE,CARDINAL
2014,DATE,CARDINAL
