data,predict,target
2014,CARDINAL,DATE
2005,DATE,CARDINAL
2012,DATE,CARDINAL
NxNE,VERBATIM,LETTERS
16219,DIGIT,CARDINAL
2012,DATE,CARDINAL
300,DIGIT,CARDINAL
70750,CARDINAL,VERBATIM
~,PLAIN,VERBATIM
rw,VERBATIM,LETTERS
2,DIGIT,CARDINAL
2009,DATE,CARDINAL
2096,DATE,DIGIT
1301,DATE,DIGIT
II,CARDINAL,ORDINAL
2008,DATE,CARDINAL
03012,DIGIT,TELEPHONE
9013,CARDINAL,DIGIT
bc,LETTERS,VERBATIM
I.,LETTERS,ORDINAL
ntp,LETTERS,VERBATIM
2,CARDINAL,DIGIT
2009,DATE,CARDINAL
7,CARDINAL,DIGIT
22575,CARDINAL,VERBATIM
1,CARDINAL,DIGIT
1956,DATE,CARDINAL
XX,LETTERS,CARDINAL
2222,CARDINAL,DIGIT
3,CARDINAL,DIGIT
XIV,ORDINAL,CARDINAL
30137,CARDINAL,DIGIT
1941,DATE,CARDINAL
1985,DATE,CARDINAL
2004,DATE,CARDINAL
1974,DATE,DIGIT
1986,DATE,CARDINAL
3,CARDINAL,DIGIT
9,CARDINAL,DIGIT
2010,DATE,CARDINAL
10071,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
37,CARDINAL,DIGIT
2001,DATE,DIGIT
515,CARDINAL,DIGIT
"1898,306/3",CARDINAL,FRACTION
2009,DATE,CARDINAL
ws,LETTERS,VERBATIM
ipaustrali,PLAIN,ELECTRONIC
I,ORDINAL,CARDINAL
1957,CARDINAL,DATE
3,CARDINAL,DIGIT
xpc,VERBATIM,LETTERS
rt,LETTERS,VERBATIM
V,ORDINAL,CARDINAL
5,CARDINAL,DIGIT
178,CARDINAL,DIGIT
dd,LETTERS,VERBATIM
I.,CARDINAL,LETTERS
1936,DATE,DIGIT
2,CARDINAL,DIGIT
sj,VERBATIM,LETTERS
3,CARDINAL,DIGIT
XII,CARDINAL,ORDINAL
2012,DATE,CARDINAL
XVI,CARDINAL,ORDINAL
2,CARDINAL,DIGIT
1986,DATE,CARDINAL
I,CARDINAL,ORDINAL
17,CARDINAL,DIGIT
1975,DATE,DIGIT
1,CARDINAL,DIGIT
273,CARDINAL,DECIMAL
154,DECIMAL,CARDINAL
135,CARDINAL,DIGIT
2002,DATE,CARDINAL
2006,DATE,CARDINAL
1941,DATE,CARDINAL
2012,CARDINAL,DATE
2008,DATE,DIGIT
1972,DATE,CARDINAL
1 CAD,DATE,MONEY
1953,CARDINAL,DATE
11.1 milli,DECIMAL,MONEY
1993,DATE,CARDINAL
2000,DATE,CARDINAL
10,CARDINAL,DIGIT
2010,DATE,CARDINAL
/ second,ELECTRONIC,MEASURE
cMLCK,LETTERS,VERBATIM
1985,DATE,DIGIT
I,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
5,CARDINAL,DIGIT
1,CARDINAL,DIGIT
2009,CARDINAL,DATE
2014,DATE,DIGIT
0,CARDINAL,DIGIT
1,CARDINAL,DIGIT
20153,CARDINAL,DIGIT
2011,DATE,CARDINAL
1,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
IV,LETTERS,ORDINAL
2014-30-07,DATE,TELEPHONE
12,CARDINAL,DIGIT
I,ORDINAL,CARDINAL
6,CARDINAL,DIGIT
735,CARDINAL,DIGIT
I,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
5684,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
1,CARDINAL,DIGIT
1973,DATE,CARDINAL
1313,DATE,DIGIT
19982,CARDINAL,VERBATIM
1,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
1981,DATE,DIGIT
II,CARDINAL,ORDINAL
2006,DATE,CARDINAL
33,CARDINAL,DECIMAL
2009,DATE,CARDINAL
2012,DATE,DIGIT
1,CARDINAL,DIGIT
V.,LETTERS,ORDINAL
1922,DATE,DIGIT
1989,DATE,DIGIT
IV,ORDINAL,LETTERS
II,CARDINAL,ORDINAL
2007,DATE,CARDINAL
2,CARDINAL,DIGIT
dp,LETTERS,VERBATIM
MR,PLAIN,LETTERS
pp,VERBATIM,LETTERS
106736150,CARDINAL,DIGIT
1,CARDINAL,DIGIT
16,CARDINAL,DIGIT
250,CARDINAL,DIGIT
28976,CARDINAL,VERBATIM
DR,PLAIN,LETTERS
2013,CARDINAL,DATE
2,CARDINAL,DIGIT
xv,VERBATIM,LETTERS
1950,DATE,CARDINAL
2,CARDINAL,DIGIT
3,CARDINAL,DIGIT
14,CARDINAL,DIGIT
XVI,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
"12,800,000",CARDINAL,MEASURE
1998,DATE,DIGIT
37,CARDINAL,DIGIT
I,CARDINAL,ORDINAL
2005,DATE,CARDINAL
412,CARDINAL,DIGIT
II,CARDINAL,ORDINAL
6080,CARDINAL,DIGIT
2013,DATE,DIGIT
826,CARDINAL,DIGIT
14,CARDINAL,DIGIT
2003,DATE,DIGIT
1992,DATE,DIGIT
2,CARDINAL,DIGIT
4,CARDINAL,DIGIT
kn,VERBATIM,LETTERS
2002,DATE,CARDINAL
1964,DATE,DIGIT
2005,DATE,CARDINAL
3,CARDINAL,DIGIT
7 bn AZN,MEASURE,MONEY
7,CARDINAL,DIGIT
4,CARDINAL,DIGIT
1580,DATE,DIGIT
51,CARDINAL,DIGIT
2002,DATE,DIGIT
4,CARDINAL,DIGIT
4,CARDINAL,DIGIT
747,CARDINAL,DIGIT
2,DIGIT,CARDINAL
I,CARDINAL,ORDINAL
2000,DATE,CARDINAL
7,CARDINAL,DIGIT
TDv,LETTERS,VERBATIM
68000,CARDINAL,DIGIT
2,CARDINAL,DIGIT
1995,DATE,DIGIT
2013,DATE,CARDINAL
2006,DATE,CARDINAL
III,CARDINAL,ORDINAL
20,CARDINAL,DIGIT
II,ORDINAL,CARDINAL
2015,DATE,CARDINAL
250 TRs ,MEASURE,MONEY
1,CARDINAL,DIGIT
1909,DATE,CARDINAL
2015,CARDINAL,DATE
II,ORDINAL,CARDINAL
2009,DATE,CARDINAL
21,CARDINAL,DIGIT
1,CARDINAL,DIGIT
1983,DATE,DIGIT
I.,LETTERS,CARDINAL
1987,DATE,DIGIT
251,CARDINAL,DIGIT
pdf,LETTERS,VERBATIM
lg,PLAIN,VERBATIM
2014,DATE,DIGIT
77,CARDINAL,DIGIT
2014,DATE,CARDINAL
2,CARDINAL,DIGIT
003590,DIGIT,TELEPHONE
II's,CARDINAL,ORDINAL
HvZ,LETTERS,VERBATIM
2002,DATE,CARDINAL
2011,DATE,CARDINAL
II,CARDINAL,ORDINAL
5600,CARDINAL,DIGIT
XII,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
V.,LETTERS,ORDINAL
nn,LETTERS,VERBATIM
1440,DATE,DIGIT
sst,VERBATIM,LETTERS
1953,DATE,CARDINAL
2016,DATE,CARDINAL
I,ORDINAL,CARDINAL
nwt,LETTERS,VERBATIM
2014,CARDINAL,DATE
1999,DATE,CARDINAL
3,CARDINAL,DIGIT
npr,VERBATIM,LETTERS
1291,DATE,DIGIT
I,ORDINAL,CARDINAL
2010,DATE,CARDINAL
1938,DATE,CARDINAL
rabphilin-,ELECTRONIC,LETTERS
1968,DATE,DIGIT
1968,DATE,DIGIT
II,CARDINAL,ORDINAL
pr,VERBATIM,LETTERS
030654,TELEPHONE,DIGIT
2009,DATE,DIGIT
2009,DATE,CARDINAL
2003,DATE,CARDINAL
1,CARDINAL,DIGIT
1979,DATE,CARDINAL
1026,DATE,DIGIT
3,CARDINAL,DIGIT
2008,CARDINAL,DATE
fr,LETTERS,VERBATIM
1937,DATE,DIGIT
2007,DATE,CARDINAL
3,CARDINAL,DIGIT
2007,DATE,DIGIT
265,CARDINAL,DIGIT
2009,DATE,CARDINAL
1906,DATE,CARDINAL
17,CARDINAL,DIGIT
2,CARDINAL,DIGIT
2009,DATE,CARDINAL
8,CARDINAL,DIGIT
5,CARDINAL,DIGIT
2012-01-09,DATE,ELECTRONIC
1,CARDINAL,DIGIT
6,CARDINAL,DIGIT
V.,LETTERS,ORDINAL
II,CARDINAL,ORDINAL
2009,CARDINAL,DATE
12,CARDINAL,DECIMAL
2013,CARDINAL,DATE
2005,DATE,CARDINAL
223,CARDINAL,DIGIT
4,CARDINAL,DIGIT
1997,DATE,CARDINAL
I.,LETTERS,CARDINAL
1000,DATE,DIGIT
1592,DATE,DIGIT
V,CARDINAL,ORDINAL
I,CARDINAL,ORDINAL
40,CARDINAL,DIGIT
2728,CARDINAL,DIGIT
cf,VERBATIM,LETTERS
I.,ORDINAL,LETTERS
8,CARDINAL,DIGIT
I,CARDINAL,ORDINAL
II,CARDINAL,ORDINAL
1989,DATE,DIGIT
19,CARDINAL,DIGIT
2011,CARDINAL,DATE
2008,DATE,DIGIT
6,CARDINAL,DIGIT
2010,DATE,CARDINAL
2015,DATE,CARDINAL
gm,VERBATIM,LETTERS
1,CARDINAL,DIGIT
1895,DATE,DIGIT
gtk,LETTERS,VERBATIM
pm,VERBATIM,LETTERS
2012,DATE,CARDINAL
21264,DIGIT,CARDINAL
fs,VERBATIM,LETTERS
IV,LETTERS,ORDINAL
LXIV,LETTERS,CARDINAL
270,CARDINAL,DIGIT
2,CARDINAL,DIGIT
1991,DATE,DIGIT
XIV,CARDINAL,ORDINAL
3,CARDINAL,DIGIT
380373,CARDINAL,DIGIT
2007,DATE,DIGIT
2,CARDINAL,DIGIT
11 st,MEASURE,ORDINAL
51,CARDINAL,DIGIT
1323,DATE,DIGIT
1978,CARDINAL,DATE
1,CARDINAL,DIGIT
46,CARDINAL,DECIMAL
XII,ORDINAL,CARDINAL
Institutio,ELECTRONIC,PLAIN
2008,DATE,CARDINAL
3,CARDINAL,DIGIT
V.,LETTERS,ORDINAL
9525,CARDINAL,DIGIT
2,CARDINAL,DIGIT
IV,ORDINAL,LETTERS
2,CARDINAL,DIGIT
4,CARDINAL,DIGIT
V.,LETTERS,ORDINAL
922,CARDINAL,DIGIT
211,CARDINAL,DIGIT
6,CARDINAL,DIGIT
3,CARDINAL,DIGIT
12866,CARDINAL,VERBATIM
1979,DATE,CARDINAL
1071,DATE,DIGIT
2012,DATE,CARDINAL
1988,DATE,CARDINAL
11,CARDINAL,DIGIT
XIVth,LETTERS,ORDINAL
1973,DATE,CARDINAL
